,Accuracy_avg,Recall_avg,Precision_avg,F1-score_avg,Brier Score_avg,Log Loss_avg,ME_avg,AUC_avg,AUPR_avg,Accuracy_std,Recall_std,Precision_std,F1-score_std,Brier Score_std,Log Loss_std,ME_std,AUC_std,AUPR_std
Bladder,0.9943085200733164,0.9576874546820544,0.9540320141903497,0.9556705936870268,0.004535273778388272,0.018615815605902364,0.005691479926683618,0.9991222660010612,0.9877684297188427,0.001043680761278852,0.0180818332887764,0.009934556930915696,0.00603381445784772,0.0006264834513534759,0.0026086728589708895,0.001043680761278852,0.000562796290285378,0.005245847249738281
Brain,0.9990772778336192,0.9932478632478633,0.9967320261437909,0.9949685890689155,0.0010589006116572734,0.005599474476386651,0.0009227221663808738,0.9999345908727927,0.999335638059366,0.0008965220733822703,0.008270748993779817,0.004005156039127384,0.004922882104419116,0.0008735196163260086,0.002935115850053091,0.0008965220733822703,6.30119466053035e-05,0.0006516850330109465
Breast,0.9972313604919293,0.9874343933312751,0.9898492669789691,0.9886336066823873,0.002501003094507007,0.012246847694970758,0.002768639508070714,0.9997654578211723,0.9986707366717864,0.0011507265964449537,0.006935671157704215,0.0029564669948890544,0.004662433688128811,0.0009899416979561274,0.003356145347441042,0.0011507265964449537,0.0003042585606520139,0.001596219953491257
Bronchus & Lung,0.9950776325903152,0.9785822127317519,0.9833098726294687,0.9809208929220137,0.0042095819171481755,0.017871410762911506,0.004922367409684836,0.9995182478309502,0.9976666295466623,0.001426864252773462,0.007939987424237066,0.0057480383989990495,0.005381538206133255,0.001147311177963338,0.002903820923127168,0.001426864252773462,0.0003715432191688956,0.0013405713601758623
Cervix,0.9944621297226985,0.9294384608303415,0.9512122005601974,0.9389686666420818,0.004687000870513275,0.0212375720365395,0.005537870277301482,0.9966439703358174,0.9682648407303749,0.0013241910284843778,0.021343150367333467,0.04920403881029783,0.01765346284565246,0.0004238676751479273,0.002358447527299776,0.001324191028484378,0.0009388796783604712,0.009561756306786894
Corpus,0.9960007095133921,0.9827126847662793,0.9605355353059337,0.9714959488872534,0.003624572989060957,0.01676181806673269,0.003999290486607921,0.9986451202762572,0.9847870514389468,0.0015686514042080075,0.010430684642514756,0.008279467624613327,0.009296932137318002,0.0012336685823490332,0.003962143222897628,0.0015686514042080075,0.0008293467163147635,0.008319381544643956
Kidney,0.9976926624490037,0.9879356594731636,0.9896641511473601,0.988783317408906,0.0017884287018815228,0.010988843566468799,0.0023073375509962578,0.9985418455887849,0.9968164259625365,0.0006880212819923377,0.0038052406461109127,0.005989783402696425,0.0030671017872643622,0.00029657275461384823,0.0021031720940549,0.0006880212819923377,0.0019141190104521,0.002677790271277856
Liver,0.997077041329155,0.955743462150404,0.9972972972972972,0.9760099770976884,0.0025401473937273324,0.011256407305811953,0.0029229586708449107,0.9997856386334305,0.9972936736799776,0.0011307590189957785,0.01648013371436518,0.005405405405405395,0.009462442012984252,0.000877909662986354,0.002560735242620671,0.0011307590189957785,0.0001711430128691742,0.002149672323899476
Prostate,0.9953854431502395,0.962875901875902,0.9752630261951507,0.9688619473424914,0.003468271145195225,0.014150270689042446,0.004614556849760554,0.9993534140115216,0.9853945238222757,0.001375580015654691,0.019817591328235195,0.012185721556046124,0.010481395600126866,0.0015598089214939293,0.006029584623015801,0.001375580015654691,0.00043024533887458784,0.011918541417668323
Stomach,0.9955389345473897,0.9750248627490008,0.954266915879819,0.9642041881763829,0.003418068624513014,0.014268643054896082,0.004461065452610424,0.9993152943240204,0.9933664110982058,0.0017135407810819677,0.02589489022412999,0.016611576991171894,0.012627177850286962,0.001290745337591066,0.004588402340684905,0.0017135407810819677,0.0008463605764299964,0.005306162727767951
Thyroid,0.9975386980429255,0.9833590165590692,0.984908124662223,0.9840284786668427,0.002459685171997093,0.011038731293528312,0.0024613019570744353,0.999681390682454,0.9961361314455699,0.0016427603901465466,0.01080756865549522,0.017675238895347143,0.010657560564120688,0.0012555333627827985,0.0047061761767022,0.0016427603901465464,0.00026041953016150044,0.0034972780364029834
Normal,0.9864633122450186,0.9427756229325712,0.911593446537845,0.9268340862853999,0.010048405560848314,0.04023685444462013,0.013536687754981357,0.9949043352926825,0.9734032408795276,0.0019839611392344107,0.014228578440905042,0.013357301848887353,0.010503254324605133,0.001536650444889152,0.006855304027799737,0.0019839611392344107,0.0023355922726100184,0.00846363541676978
macro,0.9729268609945013,0.9697347996108064,0.9707219897940338,0.9699483577389492,0.0036949449882864556,0.0161893907498176,0.027073139005498747,0.9986702244561064,0.9992450591582976,0.0032808914461877926,0.0031651003185830476,0.005024434505922049,0.004093792475266683,0.0003629493237414739,0.001511118370827543,0.003280891446187792,0.00034679318225841157,0.00016026351460968387
micro,0.9729268609945013,0.9729268609945013,0.9729268609945013,0.9729268609945013,0.0036949449882864556,0.0161893907498176,0.027073139005498747,0.9989739944165603,0.9925859023290318,0.0032808914461877926,0.0032808914461877926,0.0032808914461877926,0.0032808914461877926,0.0003629493237414739,0.001511118370827543,0.003280891446187792,0.0004470471785230058,0.002330738162418486
